Numéro Etablissement;Numéro entité juridique;Raison sociale;Raison sociale - Libellé long;Complément de raison sociale;Complément de distribution;Code Département;Département;Téléphone;Fax;Code catégorie d’établissement;Catégorie d'établissement;Code agrégat d’établissemen;Catégorie d’agrégat d’établissement;Code APE;Code MFT;Libellé MFT;Code SPH;Libellé SPH;Date d’ouverture;Date d’autorisation;Dernière date de MAJ;Année;Adresse;Code INSEE;Code postal;Commune;Coordonnées de l'établissement;EPCI
970406203;970406195;CLINIQUE DE LA PAIX (ST BENOIT);CLINIQUE DE LA PAIX (ST BENOIT);;;9D;LA REUNION;97470;ST BENOIT;108;Etablissement de Convalescence et de Repos;1107;Soins Suite & Réadap;;07;ARS établissements de santé non financés dotation globale;0;Non concerné;2006-06-27;2008-02-01;2008-09-25;2012;1 BD FRANCOIS MITTERRAND;9D9D410;97470;ST BENOIT;-21.036224,55.712458;
970463816;970400552;PHARMACIE DU JARDIN;PHARMACIE DU JARDIN;;;9D;LA REUNION;97400;ST DENIS;620;Pharmacie d'Officine;3201;Com.Biens Usage Méd.;01;Etablissement Tarif Libre;;;1974-09-30;;;;2005;42 PL DE METZ;9D9D411;97400;ST DENIS;-20.885586,55.451255;
970405171;970430898;S. E. S. S. A. D. IMS CHARLES ISAUTIER;S.E.S.S.A.D.  IMS CHARLES ISAUTIER (IMP ST PIERRE);I. M. S.   CHARLES ISAUTIER;;9D;LA REUNION;97410;ST PIERRE;182;Service d'Éducation Spéciale et de Soins à Domicile;4106;Serv.Dom.Ambul.Handi;05;Préfet de Département établissements médico-sociaux;;;;2007-04-19;;;2007;80 BD HUBERT DE LISLE;9D9D416;97410;ST PIERRE;-21.339147,55.459144;
970462222;750721334;S. S. A. D .P. A. DE LA CROIX ROUGE;SERVICE SOINS A DOMICILE POUR PERSONNES AGEES (CROIX ROUGE);;;9D;LA REUNION;97412;BRAS PANON;354;Service de Soins Infirmiers A Domicile (S.S.I.A.D);4605;Etab.multi-clientèle;;05;Préfet de Département établissements médico-sociaux;;;1983-10-01;1983-10-01;2013-08-23;2013;35 R DU VANILLIER;9D9D402;97412;BRAS PANON;-21.002206,55.684368;
970404851;970463600;S.H.A.D. - A.S.D.R. (STE CLOTILDE);SERVICE D'HOSPITALISATION A DOMICILE A.S.D.R. (STE CLOTILDE);;;9D;LA REUNION;97490;STE CLOTILDE;127;Hospitalisation à Domicile;1201;Soins à Domicile;07;ARH établissements de santé non financés dotation globale;non PSPH;;;2007-03-06;;;2007;131 RTE DU BOIS DE NEFLES;9D9D411;97490;STE CLOTILDE;-20.902846,55.477312;
970404521;970400388;INTERMETRA METRAG;INTERMETRA METRAG;;;9D;LA REUNION;97460;ST PAUL;130;Centre de Soins Médicaux;2201;Dispensaires;;99;Indéterminé;;;1998-01-01;1998-01-01;2007-06-26;2013;11 R DE LA BUSE;9D9D415;97460;ST PAUL;-21.006851,55.274599;
970462081;970400255;CLINIQUE LES ORCHIDEES;CLINIQUE LES ORCHIDEES;;;9D;LA REUNION;97420;LE PORT;128;Etablissement de Soins Chirurgicaux;1110;Soins Courte Durée;;07;ARS établissements de santé non financés dotation globale;0;Non concerné;1979-03-20;1979-03-20;2016-09-01;2017;30 AV LENINE;9D9D407;97420;LE PORT;-20.943161,55.299921;
970431508;970402004;CIRCONSCRIPTION 3 ST ANDRE;CIRCONSCRIPTION DE SERVICE    SOCIAL ET ACTION SOCIALE;;;9D;LA REUNION;97440;ST ANDRE;359;Centre Circonscription Sanitaire et Sociale;5104;Etab.Aide à Famille;01;Etablissement Tarif Libre;;;1964-01-01;;;;2005;AV DE LA REPUBLIQUE;9D9D409;97440;ST ANDRE;-20.961567,55.652302;
970464012;970400750;PHARMACIE DES LAVES;PHARMACIE DES LAVES;;;9D;LA REUNION;97439;STE ROSE;620;Pharmacie d'Officine;3201;Com.Biens Usage Méd.;4773Z;01;Etablissement Tarif Libre;;;1991-07-29;2004-08-29;2010-08-25;2013;451 RTE NATIONALE II;9D9D419;97439;STE ROSE;-21.160264,55.824029;
970432449;970402004;DISPENSAIRE    DE  LE PORT;DISPENSAIRE    DE  LE PORT;;;9D;LA REUNION;97420;LE PORT;223;Protection Maternelle et Infantile (P.M.I.).;2202;PMI Plani. Familiale;01;Etablissement Tarif Libre;;;;2005-02-02;;;2006;2 R ELUARD LAUDE;9D9D407;97420;LE PORT;-20.937351,55.299158;
970466009;970402608;PHARMACIE LA NOUVELLE;SNC COURJAULT-AZEMAR/PHARMACIE NOUVELLE;;;9D;LA REUNION;97423;LE GUILLAUME;620;Pharmacie d'Officine;3201;Com.Biens Usage Méd.;01;Etablissement Tarif Libre;;;;2006-10-19;;;2008;1 R DE L'EGLISE;9D9D415;97423;LE GUILLAUME;-21.033189,55.298925;
970464772;970401501;PHARMACIE DE LA CHALOUPE;PHARMACIE DE LA CHALOUPE;;;9D;LA REUNION;97416;LA CHALOUPE;620;Pharmacie d'Officine;3201;Com.Biens Usage Méd.;4773Z;01;Etablissement Tarif Libre;;;1990-03-13;2005-06-13;2010-08-25;2012;199 R ALEXANDRE BEGUE;9D9D413;97416;LA CHALOUPE;-21.149117,55.318967;
970403275;970403226;LABM LABOSUD;LABORATOIRE D'ANALYSES BIOLOG.MEDIC. LABOSUD;;;9D;LA REUNION;97450;ST LOUIS;610;Laboratoire d'Analyses;3101;Labo. d'Analyses;01;Etablissement Tarif Libre;;;1996-03-05;;;;2005;24 R DU MARCHE;9D9D414;97450;ST LOUIS;-21.284836,55.408033;
970466959;970402004;F. D. E.   LES CHRYSALIDES;FOYER DEPARTEMENTAL DE L'ENFANCE LES CHRYSALIDES (ST BENOIT);;;9D;LA REUNION;97441;STE SUZANNE;175;Foyer de l'Enfance;4501;Aide Sociale Enfance;;08;Président du Conseil Départemental;;;1992-06-01;1996-02-09;2007-02-20;2016;2 R GEORGES POMPIDOU;9D9D420;97441;STE SUZANNE;-20.906729,55.607159;
970407722;970463600;UAD (STE MARIE) - ASDR;UNITE AUTODIALYSE (STE MARIE) - ASDR;;;9D;LA REUNION;97438;STE MARIE;146;Structure d'Alternative à la dialyse en centre;1203;Dialyse Ambulatoire;;07;ARS établissements de santé non financés dotation globale;0;Non concerné;2006-06-27;2009-11-30;2014-07-17;2015;30 R ANDRÉ LARDY;9D9D418;97438;STE MARIE;-20.895326,55.532885;
970408639;970408621;ETABLISSEMENT PHARMACEUTIQUE;ETABLISSEMENT PHARMACEUTIQUE;;;9D;LA REUNION;97490;STE CLOTILDE;699;Entité Ayant Autorisation;1205;Autres Etab.Loi Hosp;;99;Indéterminé;0;Non concerné;2011-06-14;2011-06-23;2011-12-08;2012;7 R SAINTE MARGUERITE;9D9D411;97490;STE CLOTILDE;-20.898953,55.49063;
970466892;970466595;S. I. O. E.  -  A. R. P. E. J. E.;SERVICE D'INVESTIGATION ET D'ORIENTATION EDUCATIVE - ARPEJE;;;9D;LA REUNION;97436;ST LEU;440;Service Investigation Orientation Éducative (S.I.O.E.);4505;Etab.Expéri.Enf.Prot;10;Autorité Conjointe Préfet Dépt et PCG (1 arr);;;1904-04-04;;;;2005;35 R GENERAL LAMBERT;9D9D413;97436;ST LEU;-21.16241,55.288139;
970465340;970402079;PHARMACIE DES AVIRONS;PHARMACIE DES AVIRONS;;;9D;LA REUNION;97425;LES AVIRONS;620;Pharmacie d'Officine;3201;Com.Biens Usage Méd.;01;Etablissement Tarif Libre;;;1990-08-14;;;;2005;60 R GENERAL DE GAULLE;9D9D401;97425;LES AVIRONS;-21.2422,55.332407;
970403994;970403986;PHARMACIE DE L' ESPOIR;PHARMACIE DE L' ESPOIR;;;9D;LA REUNION;97440;ST ANDRE;620;Pharmacie d'Officine;3201;Com.Biens Usage Méd.;4773Z;99;indéterminé;;;1995-03-01;1996-01-26;2010-08-25;2010;14 CHE AGENOR;9D9D409;97440;ST ANDRE;-20.944741,55.682263;
970467262;970462875;JARDIN ENFANTS MACE MILLILERI;JARDIN D'ENFANTS MACE MILLILERI;;;9D;REUNION;97400;ST DENIS;171;Garderie et Jardin d'Enfants;5101;Etab.Gard.Enf.Présco;01;Etablissement Tarif Libre;;;1966-03-22;;;;2004;2 R JEAN CHATEL;9D9D411;97400;ST DENIS;-20.874297,55.44871;
970431896;970402004;DISPENSAIRE DE SAINT-JOSEPH;DISPENSAIRE DE SAINT-JOSEPH;;;9D;LA REUNION;97480;ST JOSEPH;223;Protection Maternelle et Infantile (P.M.I.);2202;PMI Plani. Familiale;;01;Etablissement Tarif Libre;;;1965-01-01;1965-01-01;2005-01-31;2013;2 R DE LA CRECHE;9D9D412;97480;ST JOSEPH;-21.376459,55.611379;
970465183;970401907;PHARMACIE DES OLYMPIADES;PHARMACIE DES OLYMPIADES;;;9D;LA REUNION;97490;STE CLOTILDE;620;Pharmacie d'Officine;3201;Com.Biens Usage Méd.;01;Etablissement Tarif Libre;;;;2005-09-07;;;2006;11 PL YVES MONTAND;9D9D411;97490;STE CLOTILDE;-20.905229,55.481196;
970405296;970405270;F. A. M.  MAISON PIERRE LAGOURGUE;FOYER D'ACCUEIL MEDICALISE MAISON PIERRE LAGOURGUE;MAISON PIERRE LAGOURGUE;;9D;LA REUNION;97438;STE MARIE;437;Foyer d'Accueil Médicalisé pour Adultes Handicapés (F.A.M.);4301;Héberg.Adultes Handi;;09;Autorité Mixte Préfet Dépt et PCG (2 arr.);;;2001-01-12;2005-05-02;2012-09-20;2012;11 R BEAUSEJOUR;9D9D418;97438;STE MARIE;-20.92322,55.529452;
970402988;130804370;C.A.M.S.P.  SENSORIEL JACARANDAS (NORD;CENTRE D'ACTION MEDICO-SOCIALE PRECOCE LES JACARANDAS (NORD);;;9D;LA REUNION;97490;STE CLOTILDE;190;Centre Action Médico-Sociale Précoce (C.A.M.S.P.);4106;Serv.Dom.Ambul.Handi;8891B;10;Autorité Conjointe Préfet Dépt et PCG (1 arr);;;2000-05-09;2000-09-01;2014-08-01;2014;9 R JACOB DE CORDEMOY;9D9D411;97490;STE CLOTILDE;-20.893409,55.488984;
970465639;970402368;PHARMACIE DE SAVANNA;PHARMACIE DE SAVANNA;;;9D;LA REUNION;97460;ST PAUL;620;Pharmacie d'Officine;3201;Com.Biens Usage Méd.;;01;Etablissement Tarif Libre;;;1990-09-17;1990-09-17;2004-09-15;2013;6 RTE DE SAVANNA;9D9D415;97460;ST PAUL;-20.986639,55.295155;
970464731;970401469;PHARMACIE HO POON SUNG;;;;9D;LA REUNION;97438;STE MARIE;620;Pharmacie d'Officine;3201;Com.Biens Usage Méd.;;01;Etablissement Tarif Libre;;;1978-07-25;1978-10-27;2004-02-12;2015;40 R DE LA REPUBLIQUE;9D9D418;97438;STE MARIE;-20.896835,55.550742;
970465613;970402343;PHARMACIE CHEUNG TOI CHEUNG;PHARMACIE CHEUNG TOI CHEUNG;;;9D;LA REUNION;;;620;Pharmacie d'Officine;3201;Commerce de Biens à Usage Médicaux;;01;Etablissement Tarif Libre;;;1981-02-24;1980-08-04;2018-08-10;2019;7 R DU GENERAL DE GAULLE;9D423;97426;LES TROIS BASSINS;-21.106102,55.295333;
970403143;970403093;LABM LABOSIP SAINTE CLOTILDE;LABORATOIRE D'ANALYSES BIOLOGIE MEDICALELABOSIP STE CLOTILDE;;;9D;LA REUNION;97490;STE CLOTILDE;610;Laboratoire d'Analyses;3101;Labo.d'Analyses;01;Etablissement Tarif Libre;;;;2006-08-21;;;2008;2 R DE LA CLINIQUE;9D9D411;97490;STE CLOTILDE;-20.902079,55.477978;
970465746;970402475;PHARMACIE DU CENTRE;PHARMACIE DU CENTRE;;;9D;LA REUNION;0262530939;0026253088;620;Pharmacie d'Officine;3201;Commerce de Biens à Usage Médicaux;;01;Etablissement Tarif Libre;;;2018-05-01;1991-03-29;2019-02-04;2019;10 R PAJOT;9D418;97438;STE MARIE;-20.898066,55.548519;
970431490;970402004;CIRCONSCRIPTION 5 ST JOSEPH;CIRCONSCRIPTION DE SERVICE SOCIAL ET  D ACTION SOCIALE;;;9D;LA REUNION;0262265209;;359;Centre Circonscription Sanitaire et Sociale;5104;Etablissements ou Services Divers d'Aide à la Famille;;01;Etablissement Tarif Libre;;;1964-01-01;1964-01-01;1999-12-14;2019;153 R R BABET;9D412;97480;ST JOSEPH;-21.380524,55.614945;
970410676;970408324;REUNILAB ST LOUIS;REUNILAB SAINT LOUIS;;;9D;LA REUNION;0262262323;0262260427;611;Laboratoire de Biologie Médicale;3101;Laboratoires de Biologie Médicale;8690B;01;Etablissement Tarif Libre;;;2017-06-12;2017-06-07;2016-06-08;2019;55 R SARDA GARRIGA;9D414;97450;ST LOUIS;-21.284698,55.408333;
970404265;970404257;PHARMACIE REUNIONNAISE;PHARMACIE REUNIONNAISE;;;9D;LA REUNION;0262597235;0026259719;620;Pharmacie d'Officine;3201;Commerce de Biens à Usage Médicaux;;01;Etablissement Tarif Libre;;;2017-10-01;1997-06-30;2018-08-31;2019;AV DE L EUROPE;9D422;97430;LE TAMPON;-21.275274,55.505517;
970409777;970402004;PMI TROIS BASSINS;SERVICE PROTECTION MATERNELLE ET INFANTILE;;;9D;LA REUNION;0262249696;0262349540;223;Protection Maternelle et Infantile (P.M.I.);2202;Etablissements de PMI et de Planification Familiale;;01;Etablissement Tarif Libre;;;1965-01-01;1965-01-01;2014-04-28;2019;2 R VICTOR HUGO;9D423;97426;LES TROIS BASSINS;-21.103409,55.292441;
970410213;970407904;CERBALLIANCE SAINT VINCENT;CERBALLIANCE SAINT VINCENT;;;9D;LA REUNION;0262414242;0262413380;611;Laboratoire de Biologie Médicale;3101;Laboratoires de Biologie Médicale;;01;Etablissement Tarif Libre;;;2011-11-14;2011-11-14;2016-10-24;2019;33 R MARECHAL LECLERC;9D411;97400;ST DENIS;-20.880337,55.448957;
970403911;970403903;PHARMACIE DU LYCEE;PHARMACIE DU LYCEE;;;9D;LA REUNION;0262460478;;620;Pharmacie d'Officine;3201;Commerce de Biens à Usage Médicaux;;01;Etablissement Tarif Libre;;;2019-02-01;1993-11-29;2019-02-02;2019;261 R DU LYCEE;9D409;97440;ST ANDRE;-20.964084,55.652588;
970465423;970402152;PHARMACIE LES LATANIERS;PHARMACIE LES LATANIERS;;;9D;LA REUNION;;;620;Pharmacie d'Officine;3201;Commerce de Biens à Usage Médicaux;;01;Etablissement Tarif Libre;;;2019-02-18;1997-10-02;2019-03-02;2019;127 R MONTHYON;9D411;97400;ST DENIS;-20.88719,55.462737;
970407078;130804370;FAM PAILLES EN QUEUE;FAM LES PAILLES EN QUEUE_IRSAM;;;9D;LA REUNION;02 62 92 58 17;97400;ST DENIS;Foyer d'Accueil Médicalisé pour Adultes Handicapés (F.A.M.);4301;Héberg.Adultes Handi;;9;ARS PCD mixte (2 arrêtés), habilité aide sociale;;;2007-04-27;2007-04-27;2016-07-26;2018;40 R ROGER GUICHARD;;97400;ST DENIS;-20.883974,55.458031;
970465951;970402566;PHARMACIE DELCROIX;;;;9D;LA REUNION;97429;PETITE ILE;620;Pharmacie d'Officine;3201;Com.Biens Usage Méd.;;01;Etablissement Tarif Libre;;;1996-10-09;2001-12-10;2007-11-08;2016;126 R DES PLATANES;9D9D405;97429;PETITE ILE;-21.322783,55.554784;
970432779;970402004;DISPENSAIRE    DE SAINT-PAUL;DISPENSAIRE    DE SAINT-PAUL;;;9D;LA REUNION;97460;ST PAUL;223;Protection Maternelle et Infantile (P.M.I.);2202;PMI Plani. Familiale;;01;Etablissement Tarif Libre;;;1965-01-01;1965-01-01;2005-02-02;2017;2 R SUFFREN;9D9D415;97460;ST PAUL;-21.009475,55.273423;
970464558;970401287;PHARMACIE GUEUX;PHARMACIE GUEUX;;;9D;LA REUNION;02 62 22 72 08;97460;ST PAUL;Pharmacie d'Officine;3201;Com.Biens Usage Méd.;;1;Etablissement Tarif Libre;;;1991-12-17;1994-10-02;2018-09-19;2018;130 R MONTROUGE;;97460;ST PAUL;-21.022719,55.291734;
970403721;970463592;A.U.R.A.R. (AUTODIALYSE & UDM -PORT);A.U.R.A.R. (AUTODIALYSE & UNITE DIALYSE MEDICALISE -LE PORT);;;9D;LA REUNION;97420;LE PORT;146;structure d'alternative à la dialyse en centre;1203;Dialyse Ambulatoire;07;ARH établissements de santé non financés dotation globale;non PSPH;;;2007-02-28;;;2007;R SIMON PERNIC;9D9D407;97420;LE PORT;-20.949696,55.306064;
970407938;970407904;BIOREUNION SITE LA POSSESSION;BIOREUNION SITE LA POSSESSION;;;9D;LA REUNION;97419;LA POSSESSION;611;Laboratoire de Biologie Médicale;3101;Labo Biolog Médicale;8690B;01;Etablissement Tarif Libre;;;2010-09-23;2010-10-21;2015-12-17;2015;71 R LECONTE DELISLE;9D9D408;97419;LA POSSESSION;-20.931985,55.335881;
970431896;970402004;DISPENSAIRE DE SAINT-JOSEPH;DISPENSAIRE DE SAINT-JOSEPH;;;9D;LA REUNION;97480;ST JOSEPH;223;Protection Maternelle et Infantile (P.M.I.).;2202;PMI Plani. Familiale;01;Etablissement Tarif Libre;;;;2005-01-31;;;2007;2 R DE LA CRECHE;9D9D412;97480;ST JOSEPH;-21.376459,55.611379;
970407474;970407466;AAPEJ;ASSOCIATION AIDE ET PROTECTION ENFANCE ET DE LA JEUNESSE;;;9D;LA REUNION;97418;LA PLAINE DES CAFRES;219;Autre Centre d'Accueil;4601;Adult.Fam.Difficulté;;02;Autorité Ministérielle;;;;2009-08-10;2009-08-12;2012;4 R PERE FAVRON;9D9D422;97418;LA PLAINE DES CAFRES;-21.222465,55.559851;
970466991;970400222;S. E. S.  -   A. R. E. L.;ASSOCIATION REUNIONNAISE D'ENTRAIDE AUX LIBERES;;;9D;LA REUNION;97400;ST DENIS;418;Service d'Enquêtes Sociales (S.E.S.);4504;Protection Enfance;;10;Autorité Conjointe Préfet Dépt et PCG (1 arr);;;1989-04-10;1989-04-10;2005-04-20;2014;57 R MONSEIGNEUR DE BEAUMONT;9D9D411;97400;ST DENIS;-20.883437,55.457447;
970464376;970401105;PHARMACIE DE BRAS FUSIL;PHARMACIE DE BRAS FUSIL;;;9D;LA REUNION;97470;ST BENOIT;620;Pharmacie d'Officine;3201;Com.Biens Usage Méd.;;01;Etablissement Tarif Libre;;;1990-09-17;1990-09-17;2002-03-22;2013;37 AV JEAN MONNET;9D9D410;97470;ST BENOIT;-21.051026,55.71252;
970403218;970403168;BIONORD;BIONORD;;;9D;LA REUNION;97441;STE SUZANNE;610;Laboratoire d'Analyses;3101;Labo. d'Analyses;01;Etablissement Tarif Libre;;;2002-04-16;;;;2005;22 RPT DES METIERS;9D9D420;97441;STE SUZANNE;-20.93078,55.637263;
970465001;970401733;DOM PHARMACIE;PHARMACIE D OUTRE MER;;;9D;LA REUNION;97490;STE CLOTILDE;620;Pharmacie d'Officine;3201;Com.Biens Usage Méd.;;01;Etablissement Tarif Libre;;;1989-12-27;1989-12-27;2009-06-22;2010;1 R DES GOYAVES;9D9D411;97490;STE CLOTILDE;-20.893808,55.484427;
970465464;970402194;PHARMACIE TIMOL;PHARMACIE TIMOL;;;9D;LA REUNION;97440;ST ANDRE;620;Pharmacie d'Officine;3201;Com.Biens Usage Méd.;;01;Etablissement Tarif Libre;;;1989-04-10;1990-05-04;1997-07-08;2017;2606 CHE PATELIN;9D9D409;97440;ST ANDRE;-20.972554,55.688419;
970409058;970408324;REUNILAB STE MARIE;REUNILAB SAINTE MARIE;;;9D;LA REUNION;97438;STE MARIE;611;Laboratoire de Biologie Médicale;3101;Labo Biolog Médicale;;01;Etablissement Tarif Libre;;;2013-10-28;2013-10-28;2013-11-12;2015;53 R DE LA REPUBLIQUE;9D9D418;97438;STE MARIE;-20.896743,55.550743;
970406872;970406211;S.A.V.S. (ARPEDA ST PIERRE);SERV DE SUITE & ACCOMPAGNEMENT A LA VIE SO(ARPEDA ST PIERRE);;;9D;LA REUNION;97410;ST PIERRE;446;Service d'Accompagnement à la Vie Sociale (S.A.V.S.);4305;Maintien à Dom.Handi;8891B;99;Indéterminé;;;2006-12-21;2007-04-15;2011-06-03;2013;71 R LUC LORION;9D9D416;97410;ST PIERRE;-21.336128,55.470449;
970464145;970400883;PHARMACIE PICHANE;PHARMACIE PICHANE;;;9D;LA REUNION;97470;ST BENOIT;620;Pharmacie d'Officine;3201;Com.Biens Usage Méd.;01;Etablissement Tarif Libre;;;;1997-07-10;;;2006;57 R AMIRAL BOUVET;9D9D410;97470;ST BENOIT;-21.03632,55.718467;
970430153;970400149;CENTRE EDUCATIF RENFORCE;CENTRE EDUCATIF RENFORCE;;;9D;LA REUNION;97418;LA PLAINE DES CAFRES;177;Maison d'Enfants à Caractère Social;4501;Aide Sociale Enfance;;08;Président du Conseil Général;;;1960-01-01;1960-01-01;2013-09-04;2015;;9D9D422;97418;LA PLAINE DES CAFRES;-21.222465,55.559851;
970431847;970402004;DISPENSAIRE    DE SAINTE-ROSE;DISPENSAIRE    DE SAINTE-ROSE;;;9D;LA REUNION;97439;STE ROSE;223;Protection Maternelle et Infantile (P.M.I.);2202;PMI Plani. Familiale;;01;Etablissement Tarif Libre;;;1966-01-01;1966-01-01;2009-04-07;2013;1 AV NELSON MANDELA;9D9D419;97439;STE ROSE;-21.128167,55.794056;
970466041;970430898;FOYER MARIE POITTEVIN;FOYER MARIE POITTEVIN  -  LE TAMPON;;;9D;LA REUNION;97430;LE TAMPON;177;Maison d'Enfants à Caractère Social;4501;Aide Sociale Enfance;08;Président du Conseil Général;;;1991-01-01;;;;2005;85 R ALBERT FREJAVILLE;9D9D422;97430;LE TAMPON;-21.280926,55.511695;
970432860;970402004;CIRCONSCRIPTION 10 PORT;;;PRES IMMEUBLE EDF;9D;LA REUNION;97420;LE PORT;359;Centre Circonscription Sanitaire et Sociale;5104;Etab.Aide à Famille;;01;Etablissement Tarif Libre;;;1964-01-01;1964-01-01;2003-02-05;2017;ZUP;9D9D407;97420;LE PORT;-20.946123,55.304287;
970465563;970402293;PHARMACIE VITRY;;;;9D;LA REUNION;97410;ST PIERRE;620;Pharmacie d'Officine;3201;Com.Biens Usage Méd.;;01;Etablissement Tarif Libre;;;1977-08-23;1978-07-25;2014-04-12;2016;86 AV PDT MITTERRAND;9D9D416;97410;ST PIERRE;-21.344586,55.484043;
970407714;970411005;UNITE HOSPITALISATION COURTE DUREE;UNITE HOSPITALISATION COURTE DUREE CHGM;;;9D;LA REUNION;97460;ST PAUL;292;Centre Hospitalier Spécialisé lutte Maladies Mentales;1103;Lutte Malad.Mentales;;03;ARS établissements Publics de santé dotation globale;1;Etab.public de santé;2009-01-05;2010-01-06;2012-01-10;2013;38 R LABOURDONNAIS;9D9D415;97460;ST PAUL;-21.012488,55.269389;
970403697;970463592;A.U.R.A.R. (UNITE AUTODIALYSE ST BENO);A.U.R.A.R. (UNITE D'AUTODIALYSE - SAINT-BENOIT);;;9D;LA REUNION;97470;ST BENOIT;146;Structure d'Alternative à la dialyse en centre;1203;Dialyse Ambulatoire;;07;ARH établissements de santé non financés dotation globale;0;non PSPH;1980-09-03;1997-01-01;2007-02-28;2010;1 R DES AUBEPINES;9D9D410;97470;ST BENOIT;-21.057167,55.711346;
970409926;970408324;REUNILAB MARCHE FORAIN;REUNILAB MARCHE FORAIN;;;9D;LA REUNION;;;611;Laboratoire de Biologie Médicale;3101;Laboratoires de Biologie Médicale;;01;Etablissement Tarif Libre;;;2014-11-12;2014-11-12;2014-12-02;2019;1 AV JEAN JAURES;9D410;97470;ST BENOIT;-21.036224,55.715665;
